# ao_sweep_unit: V
ao_value_V,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
0.0000,6.627000000e-07,5.078000000e-07,4.851000000e-07,4.912000000e-07
0.0120,6.598000000e-07,5.073000000e-07,4.868000000e-07,4.898000000e-07
0.0241,6.752000000e-07,5.180000000e-07,4.937000000e-07,4.982000000e-07
0.0361,6.777000000e-07,5.200000000e-07,4.959000000e-07,4.995000000e-07
0.0482,6.781000000e-07,5.192000000e-07,4.973000000e-07,4.950000000e-07
0.0602,6.794000000e-07,5.210000000e-07,4.963000000e-07,5.023000000e-07
0.0723,6.789000000e-07,5.209000000e-07,4.960000000e-07,5.000000000e-07
0.0843,6.789000000e-07,5.235000000e-07,4.953000000e-07,5.029000000e-07
0.0964,6.787000000e-07,5.254000000e-07,4.948000000e-07,5.028000000e-07
0.1084,6.830000000e-07,5.282000000e-07,4.946000000e-07,5.120000000e-07
0.1205,6.795000000e-07,5.220000000e-07,4.945000000e-07,5.049000000e-07
0.1325,6.835000000e-07,5.264000000e-07,4.966000000e-07,5.090000000e-07
0.1446,6.729000000e-07,5.135000000e-07,4.877000000e-07,4.973000000e-07
0.1566,6.833000000e-07,5.222000000e-07,4.956000000e-07,5.059000000e-07
0.1687,6.836000000e-07,5.250000000e-07,4.946000000e-07,5.093000000e-07
0.1807,6.784000000e-07,5.193000000e-07,4.885000000e-07,5.084000000e-07
0.1928,6.844000000e-07,5.230000000e-07,4.925000000e-07,5.132000000e-07
0.2048,6.829000000e-07,5.203000000e-07,4.886000000e-07,5.143000000e-07
0.2169,6.823000000e-07,5.185000000e-07,4.895000000e-07,5.102000000e-07
0.2289,6.832000000e-07,5.183000000e-07,4.886000000e-07,5.140000000e-07
0.2410,6.927000000e-07,5.225000000e-07,4.971000000e-07,5.172000000e-07
0.2530,6.992000000e-07,5.245000000e-07,5.011000000e-07,5.234000000e-07
0.2651,7.020000000e-07,5.224000000e-07,5.045000000e-07,5.226000000e-07
0.2771,7.067000000e-07,5.224000000e-07,5.081000000e-07,5.217000000e-07
0.2892,7.083000000e-07,5.187000000e-07,5.068000000e-07,5.247000000e-07
0.3012,7.200000000e-07,5.240000000e-07,5.150000000e-07,5.238000000e-07
0.3133,7.136000000e-07,5.185000000e-07,5.091000000e-07,5.245000000e-07
0.3253,7.112000000e-07,5.135000000e-07,5.039000000e-07,5.254000000e-07
0.3373,7.237000000e-07,5.187000000e-07,5.101000000e-07,5.244000000e-07
0.3494,7.154000000e-07,5.116000000e-07,5.051000000e-07,5.312000000e-07
0.3614,7.205000000e-07,5.108000000e-07,5.034000000e-07,5.290000000e-07
0.3735,7.219000000e-07,5.115000000e-07,5.064000000e-07,5.383000000e-07
0.3855,7.208000000e-07,5.069000000e-07,5.014000000e-07,5.378000000e-07
0.3976,7.202000000e-07,5.061000000e-07,5.010000000e-07,5.429000000e-07
0.4096,7.275000000e-07,5.078000000e-07,5.048000000e-07,5.451000000e-07
0.4217,7.277000000e-07,5.032000000e-07,4.997000000e-07,5.417000000e-07
0.4337,7.301000000e-07,5.024000000e-07,5.004000000e-07,5.451000000e-07
0.4458,7.326000000e-07,5.011000000e-07,5.005000000e-07,5.491000000e-07
0.4578,7.342000000e-07,4.987000000e-07,4.976000000e-07,5.515000000e-07
0.4699,7.268000000e-07,4.915000000e-07,4.931000000e-07,5.551000000e-07
0.4819,7.332000000e-07,4.915000000e-07,4.929000000e-07,5.582000000e-07
0.4940,7.258000000e-07,4.838000000e-07,4.872000000e-07,5.591000000e-07
0.5060,7.339000000e-07,4.851000000e-07,4.838000000e-07,5.596000000e-07
0.5181,7.318000000e-07,4.811000000e-07,4.863000000e-07,5.679000000e-07
0.5301,7.372000000e-07,4.813000000e-07,4.882000000e-07,5.727000000e-07
0.5422,7.388000000e-07,4.794000000e-07,4.872000000e-07,5.788000000e-07
0.5542,7.353000000e-07,4.739000000e-07,4.824000000e-07,5.780000000e-07
0.5663,7.309000000e-07,4.699000000e-07,4.840000000e-07,5.920000000e-07
0.5783,7.191000000e-07,4.615000000e-07,4.737000000e-07,5.901000000e-07
0.5904,7.139000000e-07,4.573000000e-07,4.670000000e-07,5.932000000e-07
0.6024,7.265000000e-07,4.595000000e-07,4.741000000e-07,5.983000000e-07
0.6145,7.292000000e-07,4.571000000e-07,4.740000000e-07,6.028000000e-07
0.6265,7.245000000e-07,4.521000000e-07,4.686000000e-07,6.058000000e-07
0.6386,7.330000000e-07,4.491000000e-07,4.712000000e-07,6.069000000e-07
0.6506,7.306000000e-07,4.457000000e-07,4.687000000e-07,6.120000000e-07
0.6627,7.326000000e-07,4.439000000e-07,4.686000000e-07,6.184000000e-07
0.6747,7.303000000e-07,4.377000000e-07,4.641000000e-07,6.175000000e-07
0.6867,7.268000000e-07,4.325000000e-07,4.593000000e-07,6.193000000e-07
0.6988,7.350000000e-07,4.328000000e-07,4.642000000e-07,6.275000000e-07
0.7108,7.338000000e-07,4.276000000e-07,4.588000000e-07,6.262000000e-07
0.7229,7.323000000e-07,4.251000000e-07,4.595000000e-07,6.354000000e-07
0.7349,7.245000000e-07,4.164000000e-07,4.525000000e-07,6.300000000e-07
0.7470,7.335000000e-07,4.173000000e-07,4.573000000e-07,6.402000000e-07
0.7590,7.321000000e-07,4.127000000e-07,4.522000000e-07,6.406000000e-07
0.7711,7.183000000e-07,4.040000000e-07,4.453000000e-07,6.373000000e-07
0.7831,7.200000000e-07,3.995000000e-07,4.420000000e-07,6.379000000e-07
0.7952,7.217000000e-07,3.971000000e-07,4.436000000e-07,6.436000000e-07
0.8072,7.225000000e-07,3.941000000e-07,4.414000000e-07,6.445000000e-07
0.8193,7.266000000e-07,3.918000000e-07,4.429000000e-07,6.509000000e-07
0.8313,7.234000000e-07,3.859000000e-07,4.378000000e-07,6.493000000e-07
0.8434,7.099000000e-07,3.763000000e-07,4.287000000e-07,6.373000000e-07
0.8554,7.144000000e-07,3.740000000e-07,4.269000000e-07,6.420000000e-07
0.8675,7.170000000e-07,3.720000000e-07,4.286000000e-07,6.445000000e-07
0.8795,7.147000000e-07,3.670000000e-07,4.232000000e-07,6.405000000e-07
0.8916,7.130000000e-07,3.621000000e-07,4.181000000e-07,6.415000000e-07
0.9036,7.104000000e-07,3.566000000e-07,4.182000000e-07,6.362000000e-07
0.9157,7.107000000e-07,3.522000000e-07,4.164000000e-07,6.369000000e-07
0.9277,7.061000000e-07,3.475000000e-07,4.096000000e-07,6.317000000e-07
0.9398,6.989000000e-07,3.395000000e-07,4.028000000e-07,6.260000000e-07
0.9518,6.988000000e-07,3.354000000e-07,4.059000000e-07,6.227000000e-07
0.9639,6.936000000e-07,3.308000000e-07,4.028000000e-07,6.129000000e-07
0.9759,6.826000000e-07,3.214000000e-07,3.932000000e-07,6.041000000e-07
0.9880,6.765000000e-07,3.157000000e-07,3.886000000e-07,5.931000000e-07
1.0000,6.810000000e-07,3.155000000e-07,3.923000000e-07,5.917000000e-07
1.0120,6.761000000e-07,3.069000000e-07,3.812000000e-07,5.883000000e-07
1.0241,6.677000000e-07,3.014000000e-07,3.777000000e-07,5.670000000e-07
1.0361,6.576000000e-07,2.930000000e-07,3.685000000e-07,5.537000000e-07
1.0482,6.509000000e-07,2.877000000e-07,3.604000000e-07,5.470000000e-07
1.0602,6.495000000e-07,2.867000000e-07,3.601000000e-07,5.307000000e-07
1.0723,6.448000000e-07,2.791000000e-07,3.550000000e-07,5.262000000e-07
1.0843,6.151000000e-07,2.644000000e-07,3.414000000e-07,5.025000000e-07
1.0964,6.287000000e-07,2.684000000e-07,3.415000000e-07,5.043000000e-07
1.1084,6.268000000e-07,2.654000000e-07,3.414000000e-07,4.941000000e-07
1.1205,6.254000000e-07,2.624000000e-07,3.385000000e-07,4.874000000e-07
1.1325,6.281000000e-07,2.602000000e-07,3.385000000e-07,4.810000000e-07
1.1446,6.087000000e-07,2.499000000e-07,3.260000000e-07,4.657000000e-07
1.1566,5.911000000e-07,2.411000000e-07,3.130000000e-07,4.439000000e-07
