# laser: Santec TSL-550 (HW-triggered continuous sweep)
# sweep: 1545.0000 -> 1555.0000 nm, speed 50.00 nm/s, power 1.000 mW
wavelength_nm,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
1545.0000,-2.100000000e-10,-2.300000000e-10,1.220000000e-09,5.320000000e-09
1545.0010,-2.100000000e-10,-2.300000000e-10,1.250000000e-09,5.220000000e-09
1545.0020,-2.300000000e-10,-2.200000000e-10,1.260000000e-09,5.130000000e-09
1545.0030,-2.300000000e-10,-2.500000000e-10,1.230000000e-09,5.020000000e-09
1545.0040,-2.300000000e-10,-2.500000000e-10,1.250000000e-09,4.890000000e-09
1545.0050,-2.400000000e-10,-2.200000000e-10,1.220000000e-09,4.770000000e-09
1545.0060,-2.300000000e-10,-2.200000000e-10,1.220000000e-09,4.640000000e-09
1545.0070,-2.100000000e-10,-2.500000000e-10,1.200000000e-09,4.550000000e-09
1545.0080,-2.100000000e-10,-2.200000000e-10,1.200000000e-09,4.440000000e-09
1545.0090,-2.100000000e-10,-2.200000000e-10,1.200000000e-09,4.340000000e-09
1545.0100,-2.300000000e-10,-2.300000000e-10,1.170000000e-09,4.210000000e-09
1545.0110,-2.000000000e-10,-2.500000000e-10,1.150000000e-09,4.120000000e-09
1545.0120,-2.300000000e-10,-2.300000000e-10,1.140000000e-09,4.010000000e-09
1545.0130,-2.300000000e-10,-2.300000000e-10,1.140000000e-09,3.940000000e-09
1545.0140,-2.000000000e-10,-2.200000000e-10,1.110000000e-09,3.820000000e-09
1545.0150,-2.100000000e-10,-2.300000000e-10,1.110000000e-09,3.740000000e-09
1545.0160,-2.300000000e-10,-2.200000000e-10,1.080000000e-09,3.660000000e-09
1545.0170,-2.000000000e-10,-2.300000000e-10,1.090000000e-09,3.600000000e-09
1545.0180,-2.400000000e-10,-2.300000000e-10,1.080000000e-09,3.540000000e-09
1545.0190,-2.100000000e-10,-2.200000000e-10,1.080000000e-09,3.420000000e-09
1545.0200,-2.300000000e-10,-2.300000000e-10,1.030000000e-09,3.390000000e-09
