# laser: Santec TSL-550
# sweep: 1549.0000 -> 1550.0000 nm, step 0.1000 nm, dwell 0.50 s
# power_setpoint_mw: 1.000
wavelength_nm,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
1550.0000,-2.300000000e-10,-2.200000000e-10,-1.200000000e-10,-1.500000000e-10
1549.0000,-2.300000000e-10,-2.500000000e-10,-1.100000000e-10,-1.500000000e-10
1549.1000,-2.100000000e-10,-2.300000000e-10,-1.200000000e-10,-1.300000000e-10
1549.2000,-2.100000000e-10,-2.500000000e-10,-1.100000000e-10,-1.300000000e-10
1549.3000,-2.300000000e-10,-2.300000000e-10,-1.200000000e-10,-1.600000000e-10
1549.4000,-2.300000000e-10,-2.300000000e-10,-9.000000000e-11,-1.500000000e-10
1549.5000,-2.100000000e-10,-2.300000000e-10,-9.000000000e-11,-1.600000000e-10
1549.6000,-2.400000000e-10,-2.000000000e-10,-1.200000000e-10,-1.200000000e-10
1549.7000,-2.100000000e-10,-2.300000000e-10,-1.200000000e-10,-1.500000000e-10
1549.8000,-2.300000000e-10,-2.500000000e-10,-9.000000000e-11,-1.300000000e-10
1549.9000,-2.300000000e-10,-2.000000000e-10,-1.100000000e-10,-1.500000000e-10
